,PLATFORM_NUMBER,LATITUDE_min,LATITUDE_max,LONGITUDE_min,LONGITUDE_max,TIME_min,TIME_max
0,1901443,-6.283,-6.19,93.509,94.373,2023-03-03 02:31:14,2023-03-24 14:22:25
1,1901739,2.454,4.766,46.838,51.484,2023-03-10 16:45:25,2023-03-30 07:31:48
2,1901804,-3.2992,-2.5242,54.5551,56.4219,2023-03-09 18:33:20,2023-03-29 18:27:37
3,1901843,-14.39524,-14.3541,64.87782,65.505,2023-03-03 20:38:04,2023-03-23 21:22:44
4,1901897,15.7182,16.3994,57.4092,57.4417,2023-03-03 11:04:15,2023-03-23 11:24:02
5,1901898,13.5608,15.4838,51.7594,52.5229,2023-03-09 21:21:51,2023-03-29 18:37:01
6,1901900,-5.4638,-5.1786,62.1838,62.8101,2023-03-07 06:42:23,2023-03-27 06:47:54
7,1901910,-2.8884,-2.4303,71.9426,72.2506,2023-03-06 00:50:49,2023-03-25 23:23:29
8,1901918,-17.7129,-16.8372,55.7902,56.6582,2023-03-10 00:36:34,2023-03-30 00:45:33
9,1901919,-11.7049,-10.3095,51.2676,53.7246,2023-03-01 01:03:12,2023-03-31 02:22:24
10,1902050,-17.18915,-16.62988,99.5189,99.616,2023-03-10 15:36:23,2023-03-30 11:14:35
11,1902051,-17.99517,-17.81086,97.63131,98.35509,2023-03-02 10:28:02,2023-03-22 06:20:48
12,1902052,-13.24591,-13.05372,84.93658,84.97654,2023-03-06 07:05:55,2023-03-26 04:31:27
13,1902053,-14.08496,-13.19833,80.51052,82.07804,2023-03-02 15:35:08,2023-03-22 11:13:58
14,1902054,-14.17591,-13.99372,92.25133,92.34369,2023-03-03 15:35:23,2023-03-23 10:53:57
15,1902055,-18.30657,-17.94581,97.79156,98.58524,2023-03-05 03:20:26,2023-03-24 22:40:07
16,1902190,-5.0528,-5.0528,40.2066,40.2066,2023-03-22 18:47:39,2023-03-22 18:47:39
17,1902202,-1.8042,0.4779,68.0993,68.883,2023-03-10 20:44:30,2023-03-30 20:40:02
18,1902249,-17.87818,-17.65746,89.82733,90.15834,2023-03-07 01:50:01,2023-03-26 22:08:09
19,1902250,-18.64287,-18.41479,75.37485,76.02703,2023-03-06 15:28:20,2023-03-26 11:15:21
20,1902284,1.4195,1.9433,83.6705,85.3764,2023-03-07 17:50:54,2023-03-27 17:55:19
21,1902285,-4.4844,-3.5789,52.53,53.5271,2023-03-05 18:01:52,2023-03-25 18:17:25
22,1902572,-14.210888333333333,-13.064643333333333,59.023003333333335,59.86928,2023-03-09 19:36:40,2023-03-30 05:29:40
23,2901861,-11.6944,-11.296,87.7466,87.9818,2023-03-07 03:29:31,2023-03-27 01:56:55
24,2901862,-4.81,-4.711,95.441,95.7,2023-03-07 01:57:49,2023-03-26 16:42:03
25,2902182,8.4,8.668,72.929,73.432,2023-03-07 01:20:42,2023-03-26 15:06:52
26,2902183,-5.514,-5.343,97.461,97.476,2023-03-12 17:16:38,2023-03-22 14:38:35
27,2902184,-18.844,-18.819,70.526,70.753,2023-03-15 11:46:13,2023-03-25 11:53:02
28,2902213,-17.465,-16.509,65.812,66.574,2023-03-09 15:51:43,2023-03-29 17:05:56
29,2902215,-0.8,-0.498,88.931,91.62,2023-03-10 15:16:00,2023-03-30 08:01:32
30,2902216,3.268,3.414,82.969,83.346,2023-03-07 06:00:42,2023-03-26 22:12:38
31,2902263,17.430841666666666,17.478398333333335,62.69997333333333,62.798635,2023-03-09 17:20:00,2023-03-29 17:15:00
32,2902264,9.834691666666666,10.001126666666666,86.69173666666667,86.77808333333333,2023-03-10 17:32:00,2023-03-30 17:33:00
33,2902270,14.476187,14.758357,65.64904,66.112984,2023-03-01 18:56:21,2023-03-22 18:36:40
34,2902271,15.991138,16.369799,64.528603,64.82235,2023-03-04 22:33:00,2023-03-24 22:13:52
35,2902272,17.963751,18.426279,62.740276,63.165459,2023-03-05 00:36:40,2023-03-25 00:14:28
36,2902273,17.998785,18.397881,66.741875,66.894867,2023-03-05 05:48:28,2023-03-25 06:05:07
37,2902275,16.929398,16.929398,69.980034,69.980034,2023-03-02 18:58:23,2023-03-02 18:58:23
38,2902288,-6.164,-6.089,96.523,98.119,2023-03-01 13:54:00,2023-03-31 15:42:16
39,2902289,-8.667,-8.282,82.409,83.386,2023-03-01 14:02:00,2023-03-31 14:01:00
40,2902290,-5.531,-5.464,75.123,76.685,2023-03-10 15:28:12,2023-03-30 13:54:00
41,2902292,-14.455,-13.525,67.001,68.815,2023-03-08 13:54:00,2023-03-28 15:37:56
42,2902293,-14.027,-13.816,62.937,63.452,2023-03-08 13:58:00,2023-03-28 14:52:46
43,2902294,7.49788,7.696832,89.711533,89.915047,2023-03-02 03:22:37,2023-03-27 09:33:01
44,2902388,7.78523,8.35946,61.99312,62.70896,2023-03-07 07:11:37,2023-03-26 18:47:52
45,2902392,7.10037,8.094,53.08376,54.55308,2023-03-05 12:36:19,2023-03-25 04:37:45
46,2902396,-0.88209,0.08516,46.57904,47.20109,2023-03-01 05:02:43,2023-03-30 03:48:00
47,2902758,17.71,18.01,87.164,87.207,2023-03-02 15:28:00,2023-03-07 12:18:00
48,2902764,3.949,4.352,88.862,89.085,2023-03-09 23:37:24,2023-03-30 03:31:25
49,2902765,10.731,11.122,83.654,85.361,2023-03-01 21:36:26,2023-03-22 01:24:55
